Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
360,47:09.6,53:09.6,3483,Montgomery St,40.71942,-74.05099,3278,Monmouth and 6th,40.72568548,-74.04879034,25541,Subscriber,1986,male
464,47:13.3,54:57.5,3273,Manila & 1st,40.72165072,-74.04288411,3483,Montgomery St,40.71942,-74.05099,47188,Customer,1993,male
772,47:19.5,00:12.2,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,40958,Subscriber,1992,male
147,49:06.0,51:33.6,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.717732500000004,-74.04384499999999,39839,Subscriber,1985,male
577,51:51.6,01:29.4,3276,Marin Light Rail,40.71458404,-74.04281706,3192,Liberty Light Rail,40.711242299999995,-74.0557013,28025,Subscriber,1987,male
177,52:53.1,55:50.4,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.05065640000001,44555,Subscriber,1986,male
1739,55:11.3,24:11.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42368,Subscriber,1977,male
324,55:17.6,00:42.3,3273,Manila & 1st,40.72165072,-74.04288411,3202,Newport PATH,40.7272235,-74.03375890000001,42396,Subscriber,1984,male
3528,59:14.4,58:02.5,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3213,Van Vorst Park,40.71848892,-74.04772663,42546,Subscriber,1989,male
3494,59:50.3,58:04.8,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3213,Van Vorst Park,40.71848892,-74.04772663,42526,Subscriber,1990,male
913,00:16.0,15:29.9,3677,Glenwood Ave,40.72755147,-74.07106072,3270,Jersey & 6th St,40.72528911,-74.04557168,48857,Subscriber,1959,male
365,00:44.2,06:49.7,3187,Warren St,40.721123600000006,-74.03805095,3209,Brunswick St,40.7241765,-74.05065640000001,43352,Subscriber,1987,female
